name,location,latitude,longitude
365 Station,panipokhari,27.7295791,85.3250002
3D Art Restaurant,boudha| bus stop,27.7205111,85.3607865
4 Corners Detroit Style Pizza,sanepa,27.6878725,85.3081972
A Cafe,anamnagar,27.6996152,85.3287237
A Cafe,shiva chowk| gokarneshwor,27.7180773,85.3825713
A Cafe,teku,27.695042,85.309616
A One Cafe,boudha,27.720897,85.365949
A One Cafe,dhumbarahi| near sankha park,27.7170554,85.3363627
A One Cafe,nayabazar,27.7233728,85.3067764
A One Cafe Sekuwa & Burger House,sukedhara,27.7336941,85.3510924
A One Tajmahal Food Cafe,basundhara,27.7405168,85.3285554
Aakriti Tandoori Restaurant,bhatkeko pul,27.7182431,85.3386034
Aama Laphing And Keema Noodles,aloknagar,27.6942961,85.3289726
Ace Himalayan Cafe Restaurant & Bar,paknajol,27.7144522,85.3085426
Achaar Ghar,kamalpokhari,27.7113511,85.3232735
Achaar Ghar,kupondole,27.6853498,85.3187061
Aero Lounge & Bar,airport gate| sinamangal,27.7003804,85.3535084
Ageno Thakali & Momo Station,boudha,27.7204071,85.3601974
Ai La Lounge,kumaripati,27.6698874,85.3213629
Akabare Piro Jhol Momo,tankeshwor,27.7072823,85.3324552
Alchemy By Mahabir Palace,soltimode| kalimati,27.6976149,85.2921948
Alchemy Pizzeria,thamel| kathmandu,27.7160029,85.3101591
Alev Kebab Sultanate,tangal,27.7171155,85.3310389
Alice Restaurant,bakhundol,27.6815978,85.3174052
Alice Restaurant Durbar Marg,dubar marg,27.7118646,85.3174327
Alice Restaurant,gairidhara| kathmandu,27.7205067,85.3288192
Aloft Kathmandu,chhaya devi complex| thamel,27.715843,85.3132159
Amore Pizza,koteshwor,27.6789208,85.3424494
Anatolia ( Halal ),j.p. road| thamel,27.7119641,85.309666
Angan,baluwatar,27.7292073,85.3309152
Angan,boudha,27.7198356,85.3569022
Angan,gyaneshwor,27.7098287,85.327838
Angan,kumaripati,27.6949894,85.3252426
Angan,lazimpat,27.7203044,85.3190414
Angan,maharajgunj,27.7394365,85.3378678
Angan,new baneshwor| kathmandu,27.6888027,85.3341313
Angan,new road,27.6963052,85.322689
Angan,putalisadak,27.7052803,85.3226554
Angan,sanepa,27.6852999,85.3070033
Angan,tripureshwor,27.6915399,85.3164702
Annapurna Sweets & Fast Food,patan dhoka,27.6780606,85.3211818
Annyeong Chicken,saraswatinagar| chabahil,27.7230363,85.3490781
Annyeong Chicken Thamel,chaya center thamel,27.7154724,85.313231
Anupam Foodland,gaushala,27.7059946,85.3423218
Apricus Cafe,gahana pokhari,27.7162116,85.3325951
