Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,3338893.41,32493.96,4.5118,1,Positive
2,3467415.6,37397.89,4.5728,0,Positive
3,2919495.68,59831.17,4.7769,0,Positive
4,3365010.42,46078.99,4.6635,0,Positive
5,3493558.6,42513.29,4.6285,0,Positive
6,3916276.49,78763.23,4.8963,0,Positive
7,4091447.26,98523.52,4.9935,0,Positive
8,4387833.44,81306.76,4.9101,0,Positive
9,4911036.53,94924.91,4.9774,0,Negative
10,4548579.33,189260.87,5.2771,0,Positive
11,4979144.71,115722.52,5.0634,0,Negative
12,4887870.28,193552.97,5.2868,0,Positive
13,5465384.38,264993.08,5.4232,0,Negative
14,5122905.21,466198.87,5.6686,0,Negative
15,14694500.42,266190.0,5.4252,0,Negative
16,5535728.52,280481.52,5.4479,0,Negative
17,5755254.68,596617.46,5.7757,0,Negative
18,6020888.38,479991.39,5.6812,0,Negative
19,6423221.55,687756.33,5.8374,0,Negative
20,6596673.12,972787.65,5.988,0,Negative
21,6313764.51,1167812.93,6.0674,0,Negative
22,6520203.04,769361.3,5.8861,0,Negative
23,7012092.93,1172787.88,6.0692,0,Negative
24,6930279.48,1524602.06,6.1832,0,Negative
