Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,32569047.08,38562.5,4.5862,0,Positive
2,30852131.4,25402.84,4.4049,0,Positive
3,31389651.11,42509.68,4.6285,0,Positive
4,31820317.65,46922.95,4.6714,0,Positive
5,32731552.39,77489.88,4.8892,0,Positive
6,35959476.57,75036.68,4.8753,0,Positive
7,36371318.09,129530.3,5.1124,0,Positive
8,39007753.7,125066.29,5.0971,0,Positive
9,42204929.65,261861.33,5.4181,0,Positive
10,42978869.17,176220.77,5.2461,0,Negative
11,44147208.31,376801.6,5.5761,0,Negative
12,46198123.54,365450.78,5.5628,0,Negative
13,41661261.14,364020.49,5.5611,0,Positive
14,44475923.33,686363.64,5.8366,0,Negative
15,45287273.79,523507.16,5.7189,0,Negative
16,120700906.38,931764.77,5.9693,0,Negative
17,48467324.99,910655.36,5.9594,0,Negative
18,54216802.82,1358052.24,6.1329,0,Negative
19,51784478.87,977544.08,5.9901,0,Negative
20,49034686.59,2474585.22,6.3935,0,Negative
21,52336240.32,2594562.45,6.4141,0,Negative
22,53208429.77,3109723.47,6.4927,0,Negative
23,55632784.36,4425733.27,6.646,0,Negative
24,54371939.43,4185870.32,6.6218,0,Negative
