Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,4391950.65,102092.17,5.009,0,Positive
2,5161031.51,120064.13,5.0794,0,Positive
3,5108556.96,287061.02,5.458,0,Positive
4,4859391.5,94041.92,4.9733,0,Positive
5,5556342.06,161950.66,5.2094,0,Positive
6,5503309.47,291200.71,5.4642,0,Positive
7,6340585.23,224338.85,5.3509,0,Positive
8,6275231.12,197879.88,5.2964,0,Positive
9,6545499.9,268316.02,5.4286,0,Positive
10,6673706.52,253278.75,5.4036,0,Positive
11,19018815.45,551246.27,5.7413,0,Negative
12,7099961.33,470154.15,5.6722,0,Negative
13,6919814.69,552851.28,5.7426,0,Negative
14,7580237.51,552005.86,5.7419,0,Negative
15,7472502.6,753928.3,5.8773,0,Negative
16,8255041.55,708047.71,5.8501,0,Negative
17,8393910.13,990521.34,5.9959,0,Negative
18,8219239.54,1634967.17,6.2135,0,Negative
19,8507360.92,1229649.8,6.0898,0,Negative
20,9075060.34,2368448.05,6.3745,0,Negative
21,9123017.51,1599534.07,6.204,0,Negative
22,9762800.69,1544163.94,6.1887,0,Negative
23,9669716.08,1643111.98,6.2157,0,Negative
24,9850447.88,2408810.96,6.3818,0,Negative
