Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,3326995.61,17770.76,4.2497,0,Positive
2,3193180.48,26105.1,4.4167,0,Positive
3,3301361.6,25815.0,4.4119,0,Positive
4,3191092.88,37986.74,4.5796,0,Positive
5,3670866.99,30937.23,4.4905,0,Positive
6,3298929.52,26183.21,4.418,0,Positive
7,3835298.54,50491.39,4.7032,0,Positive
8,4142915.88,69551.0,4.8423,0,Positive
9,4173618.02,60550.41,4.7821,0,Positive
10,4253567.41,119182.18,5.0762,0,Positive
11,4326007.16,140066.44,5.1463,0,Negative
12,10873719.91,106129.78,5.0258,0,Negative
13,4466716.19,102021.01,5.0087,0,Negative
14,4524727.58,146519.63,5.1659,0,Negative
15,4977844.89,150489.84,5.1775,0,Negative
16,4712015.81,228149.23,5.3582,0,Negative
17,5063265.83,219189.91,5.3408,0,Negative
18,5419409.34,319892.52,5.505,0,Negative
19,5350830.41,364431.9,5.5616,0,Negative
20,5571352.57,528609.89,5.7231,0,Negative
21,5544296.7,445439.4,5.6488,0,Negative
22,5868525.84,632778.61,5.8013,0,Negative
23,5779814.11,929756.49,5.9684,0,Negative
24,5641946.8,1237170.43,6.0924,0,Negative
