Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,19793098.55,17404.39,4.2407,0,Positive
2,20602614.1,13280.8,4.1232,0,Positive
3,21610677.61,42113.18,4.6244,0,Positive
4,23335386.58,26359.92,4.4209,0,Positive
5,21740967.6,51535.25,4.7121,0,Positive
6,24392351.06,38147.54,4.5815,0,Positive
7,26962970.95,54546.71,4.7368,0,Positive
8,24267900.13,110120.78,5.0419,0,Positive
9,26970986.28,161984.21,5.2095,0,Positive
10,77926010.31,154665.63,5.1894,0,Negative
11,29114551.11,220713.7,5.3438,0,Negative
12,27749721.77,172699.72,5.2373,0,Positive
13,31237599.58,247907.86,5.3943,0,Negative
14,30894458.67,253862.9,5.4046,0,Negative
15,31943348.3,470956.25,5.673,0,Negative
16,33712207.16,492798.26,5.6927,0,Negative
17,33084195.47,663238.89,5.8217,0,Negative
18,36022065.44,1120800.67,6.0495,0,Negative
19,34954520.57,1122955.18,6.0504,0,Negative
20,35741243.4,1145538.5,6.059,0,Negative
21,37421736.72,1487286.75,6.1724,0,Negative
22,38469639.01,1078803.34,6.0329,0,Negative
23,42692968.1,1902982.09,6.2794,0,Negative
24,39132976.76,2608866.84,6.4165,0,Negative
