Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,15082729.16,45048.39,4.6537,0,Negative
2,15531293.25,50525.99,4.7035,0,Negative
3,15099548.57,51886.48,4.7151,0,Negative
4,15259356.03,111532.88,5.0474,0,Negative
5,15137468.35,99228.27,4.9966,0,Negative
6,15851669.57,193711.24,5.2872,0,Negative
7,18335822.28,193399.63,5.2865,0,Negative
8,18779618.02,170532.83,5.2318,0,Negative
9,20557001.51,229408.35,5.3606,0,Negative
10,21209509.82,277514.94,5.4433,1,Negative
11,21879070.4,366711.61,5.5643,0,Negative
12,39051496.44,464234.78,5.6667,0,Negative
13,21209659.97,567044.33,5.7536,0,Negative
14,21261674.52,398593.89,5.6005,0,Negative
15,21418023.69,838135.97,5.9233,0,Positive
16,24090354.89,1114359.6,6.047,0,Positive
17,24197372.2,1055750.15,6.0236,0,Positive
18,25110362.01,1307218.55,6.1163,0,Positive
19,26389549.49,1254591.7,6.0985,0,Positive
20,25964261.38,1922168.6,6.2838,0,Positive
21,27469118.57,1562295.96,6.1938,0,Positive
22,25972457.93,2380323.89,6.3766,0,Positive
23,27106880.83,3951346.82,6.5967,0,Positive
24,27832036.34,3650856.62,6.5624,0,Positive
