Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1351333.31,94057.33,4.9734,0,Positive
2,1298245.98,104746.01,5.0201,0,Positive
3,1536026.96,128142.35,5.1077,0,Positive
4,1435324.48,97180.11,4.9876,0,Positive
5,1497676.2,82611.82,4.917,0,Positive
6,1627185.34,82442.25,4.9161,0,Positive
7,1555418.81,138455.69,5.1413,0,Positive
8,1716222.22,152979.21,5.1846,0,Positive
9,1652241.12,154055.51,5.1877,0,Positive
10,1803153.45,259209.82,5.4137,0,Positive
11,1846561.8,221577.41,5.3455,0,Negative
12,4410175.8,237745.68,5.3761,0,Negative
13,1870253.72,185991.77,5.2695,0,Negative
14,1921231.61,223218.96,5.3487,0,Negative
15,1980249.17,413665.6,5.6166,0,Negative
16,2014460.55,416490.86,5.6196,0,Negative
17,2237550.58,313287.75,5.4959,0,Negative
18,2239883.49,392687.47,5.594,0,Negative
19,2168764.84,412361.99,5.6153,0,Negative
20,2370004.79,884040.63,5.9465,0,Negative
21,2283978.24,683305.77,5.8346,0,Negative
22,2295529.55,499037.93,5.6981,0,Negative
23,2455236.62,952970.68,5.9791,0,Negative
24,2467829.59,825201.55,5.9166,0,Negative
