Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,7739506.8,29222.18,4.4657,0,Negative
2,8599678.89,48739.21,4.6879,0,Negative
3,8197705.33,37023.84,4.5685,0,Negative
4,9181745.28,70326.84,4.8471,0,Negative
5,10345954.04,39673.82,4.5985,0,Negative
6,10863609.92,75703.9,4.8791,1,Negative
7,10043526.72,56745.76,4.7539,0,Negative
8,11274490.2,84168.24,4.9251,0,Negative
9,11517492.1,105301.29,5.0224,0,Negative
10,12103013.42,110975.18,5.0452,0,Negative
11,33746263.08,162213.07,5.2101,0,Positive
12,12963544.23,167051.91,5.2229,0,Negative
13,13634904.54,267298.49,5.427,0,Negative
14,13318200.75,295998.98,5.4713,0,Negative
15,13673064.27,292929.16,5.4668,0,Negative
16,14459055.33,642980.2,5.8082,0,Positive
17,14992192.86,412197.82,5.6151,0,Positive
18,14844647.22,706993.2,5.8494,0,Positive
19,15242493.0,875620.48,5.9423,0,Positive
20,16234431.58,1129773.28,6.053,0,Positive
21,15946201.77,1222327.14,6.0872,0,Positive
22,16073864.53,1611631.61,6.2073,0,Positive
23,16468276.39,2133338.1,6.3291,0,Positive
24,17308816.96,1611239.08,6.2072,0,Positive
