Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,7317853.04,39437.37,4.5959,0,Positive
2,6974640.09,49002.91,4.6902,0,Positive
3,8597949.88,58858.78,4.7698,0,Positive
4,7921819.6,66510.56,4.8229,0,Positive
5,8466740.35,68754.35,4.8373,0,Positive
6,8868704.97,112485.2,5.0511,0,Positive
7,9083774.93,105300.29,5.0224,0,Positive
8,9376226.05,102103.91,5.009,0,Positive
9,14830937.95,188173.5,5.2746,0,Negative
10,9878287.28,219153.21,5.3407,0,Positive
11,10416787.58,326203.22,5.5135,0,Negative
12,10360311.23,328235.88,5.5162,0,Positive
13,11529229.28,313571.19,5.4963,0,Negative
14,12258480.87,287589.16,5.4588,0,Negative
15,12021342.15,429128.19,5.6326,0,Negative
16,11712290.24,446968.31,5.6503,0,Negative
17,12505863.85,581363.65,5.7644,0,Negative
18,13492488.22,626905.47,5.7972,0,Negative
19,13296954.5,521595.84,5.7173,0,Negative
20,13721399.78,802237.62,5.9043,0,Negative
21,13849856.28,1422021.34,6.1529,0,Negative
22,14600245.84,1238039.98,6.0927,0,Negative
23,14946538.23,2149815.36,6.3324,0,Negative
24,15288783.42,2874197.1,6.4585,0,Negative
