Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,6622962.97,11067.28,4.044,0,Positive
2,6663108.25,14331.25,4.1563,0,Positive
3,7752612.18,22481.2,4.3518,0,Positive
4,7386846.28,20311.13,4.3077,0,Positive
5,7695868.42,36142.72,4.558,0,Positive
6,8464782.2,38958.91,4.5906,0,Positive
7,8108256.59,56590.94,4.7527,0,Positive
8,8086719.97,60205.73,4.7796,0,Positive
9,9029167.94,44766.56,4.651,0,Positive
10,9138474.31,88275.14,4.9458,0,Negative
11,9852129.83,110959.72,5.0452,0,Negative
12,8970454.24,115626.68,5.0631,1,Positive
13,26746095.16,136682.38,5.1357,0,Negative
14,11053213.99,255440.36,5.4073,0,Negative
15,11100491.2,294486.25,5.4691,0,Negative
16,11239595.36,242497.4,5.3847,0,Negative
17,11508945.66,265767.74,5.4245,0,Negative
18,12240325.79,402917.55,5.6052,0,Negative
19,11755985.22,862373.19,5.9357,0,Negative
20,12242738.55,507561.17,5.7055,0,Negative
21,12836520.19,589748.79,5.7707,0,Negative
22,12907336.03,999065.16,5.9996,0,Negative
23,13474715.59,927021.77,5.9671,0,Negative
24,14188317.98,1030791.9,6.0132,0,Negative
