Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1286397.89,13456.91,4.1289,0,Negative
2,1346336.83,17903.96,4.2529,0,Negative
3,1367268.43,25142.72,4.4004,0,Negative
4,1510141.83,24400.98,4.3874,0,Negative
5,1514390.38,40480.05,4.6072,0,Negative
6,1491228.96,26242.65,4.419,0,Negative
7,1431155.33,39510.87,4.5967,0,Negative
8,1567006.19,53935.92,4.7319,0,Negative
9,1762491.46,78415.48,4.8944,0,Negative
10,1705799.27,82783.11,4.9179,0,Negative
11,1831670.27,79434.8,4.9,0,Negative
12,1766811.91,50218.25,4.7009,0,Negative
13,1889794.91,76226.72,4.8821,0,Negative
14,1849947.23,144337.67,5.1594,0,Negative
15,1995135.15,132295.21,5.1215,0,Positive
16,3645913.92,127013.41,5.1038,0,Positive
17,2005975.28,195327.2,5.2908,0,Positive
18,2231993.15,337801.16,5.5287,0,Positive
19,2208362.88,259778.86,5.4146,0,Positive
20,2307210.0,383983.14,5.5843,0,Positive
21,2290771.34,283995.2,5.4533,0,Positive
22,2374415.43,317372.64,5.5016,0,Positive
23,2438258.68,542431.8,5.7343,0,Positive
24,2411227.39,295130.71,5.47,0,Positive
