Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,17397113.49,72360.99,4.8595,0,Positive
2,19577190.9,51225.65,4.7095,0,Positive
3,19609846.95,62299.04,4.7945,0,Positive
4,18926534.94,64755.56,4.8113,0,Positive
5,21751676.44,100051.59,5.0002,0,Positive
6,19719464.09,150655.23,5.178,0,Positive
7,22890203.82,171824.12,5.2351,0,Positive
8,25393624.53,157984.69,5.1986,0,Positive
9,55022894.18,229213.76,5.3602,0,Negative
10,24336113.15,207185.73,5.3164,0,Positive
11,24513336.06,282935.07,5.4517,0,Positive
12,26740792.12,465555.76,5.668,0,Negative
13,29557682.87,615767.93,5.7894,0,Negative
14,29391818.22,350779.94,5.545,0,Negative
15,28879904.98,549491.35,5.74,0,Negative
16,31122248.83,909963.47,5.959,0,Negative
17,30270433.33,1072673.71,6.0305,0,Negative
18,31817940.18,1381978.79,6.1405,0,Negative
19,31039313.59,1956953.21,6.2916,0,Negative
20,30903263.38,1919043.7,6.2831,0,Negative
21,33296522.71,2055597.66,6.3129,0,Negative
22,33051620.17,4072561.68,6.6099,0,Negative
23,34177751.36,2753419.29,6.4399,0,Negative
24,36030133.76,3955559.44,6.5972,0,Negative
