Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,10217836.01,43665.62,4.6401,0,Negative
2,10819183.65,60381.41,4.7809,0,Negative
3,11310700.93,58092.41,4.7641,0,Negative
4,11663930.9,89474.82,4.9517,0,Negative
5,11967388.14,114665.31,5.0594,0,Negative
6,12980414.26,94705.98,4.9764,0,Negative
7,13218944.59,126723.94,5.1029,0,Negative
8,13828491.51,130790.02,5.1166,0,Negative
9,13459433.35,251127.88,5.3999,0,Negative
10,14406498.5,293725.77,5.4679,0,Negative
11,14012014.18,271804.43,5.4343,0,Negative
12,14829385.09,215748.79,5.3339,0,Negative
13,16649569.18,367973.94,5.5658,0,Negative
14,26334058.61,719998.64,5.8573,0,Negative
15,16387761.09,498865.56,5.698,0,Positive
16,17200836.11,644967.89,5.8095,0,Positive
17,17504249.95,934742.98,5.9707,0,Positive
18,17043738.88,784697.65,5.8947,0,Positive
19,16877109.32,1126061.55,6.0516,0,Positive
20,18786249.29,1195566.42,6.0776,0,Positive
21,18689876.9,1670416.79,6.2228,0,Positive
22,19870641.34,3469812.42,6.5403,0,Positive
23,20218963.5,1368667.54,6.1363,0,Positive
24,19566428.5,3094836.47,6.4906,0,Positive
