Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,5180346.24,60117.95,4.779,0,Negative
2,6548603.01,70765.73,4.8498,0,Negative
3,6710888.75,58091.95,4.7641,0,Negative
4,7626457.52,88566.73,4.9473,0,Negative
5,6905575.77,131593.65,5.1192,0,Negative
6,7151829.14,161601.23,5.2084,0,Negative
7,7599459.93,121749.04,5.0855,0,Negative
8,7795729.94,258786.4,5.4129,0,Negative
9,7951878.57,167213.5,5.2233,0,Negative
10,7941431.11,274229.94,5.4381,0,Negative
11,9023082.16,275970.84,5.4409,0,Negative
12,9045714.04,492505.48,5.6924,0,Negative
13,9222558.14,340596.71,5.5322,0,Negative
14,9170719.56,592098.03,5.7724,0,Negative
15,19018657.55,445293.56,5.6486,0,Positive
16,9774703.53,517105.16,5.7136,0,Positive
17,10378651.07,599103.22,5.7775,0,Positive
18,10654583.53,1554468.0,6.1916,0,Positive
19,11381924.06,1076178.69,6.0319,0,Positive
20,11148144.28,1144049.74,6.0584,0,Positive
21,12405326.04,1395141.84,6.1446,0,Positive
22,12378027.21,1766380.15,6.2471,0,Positive
23,12913157.11,2029217.72,6.3073,0,Positive
24,12747794.48,4142562.24,6.6173,0,Positive
