Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,9382982.16,33766.97,4.5285,0,Negative
2,10436973.68,34656.06,4.5398,0,Negative
3,9866646.13,41796.56,4.6211,0,Negative
4,10500201.26,42189.72,4.6252,0,Negative
5,11049984.56,66023.49,4.8197,0,Negative
6,11657402.03,72115.64,4.858,0,Negative
7,11767941.1,90425.12,4.9563,0,Negative
8,12192934.99,151893.91,5.1815,0,Negative
9,12674109.78,122245.95,5.0872,0,Negative
10,12928319.12,128192.97,5.1079,0,Negative
11,13578698.72,128796.53,5.1099,0,Negative
12,13220640.68,152430.83,5.1831,0,Negative
13,15192831.95,284569.18,5.4542,0,Negative
14,37930820.03,381348.62,5.5813,0,Negative
15,15602530.66,475507.2,5.6772,0,Positive
16,15327949.07,635409.61,5.8031,0,Positive
17,15785949.75,657033.89,5.8176,0,Positive
18,15980534.01,696269.38,5.8428,0,Positive
19,17232638.61,1018515.65,6.008,0,Positive
20,16406937.24,1126182.23,6.0516,0,Positive
21,17227114.84,1696722.13,6.2296,0,Positive
22,17494834.84,1830010.43,6.2625,0,Positive
23,18144080.25,1098655.1,6.0409,1,Positive
24,18738509.73,1766397.11,6.2471,0,Positive
