Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,19894967.84,46036.22,4.6631,0,Positive
2,22163199.51,30351.36,4.4822,0,Positive
3,22598299.49,54191.83,4.7339,0,Positive
4,23483241.11,61466.69,4.7886,0,Positive
5,23154169.32,96833.23,4.986,0,Positive
6,24201658.09,110713.94,5.0442,0,Positive
7,25574067.69,143025.98,5.1554,0,Positive
8,27456014.62,177971.81,5.2504,0,Positive
9,27755616.28,147804.36,5.1697,0,Positive
10,31954616.68,235668.36,5.3723,0,Negative
11,30034282.0,229147.31,5.3601,0,Positive
12,64870402.91,316351.28,5.5002,0,Negative
13,31104584.66,474172.2,5.6759,0,Negative
14,31486543.31,627266.76,5.7975,0,Negative
15,32679223.72,1062580.41,6.0264,0,Negative
16,36594962.17,793431.94,5.8995,0,Negative
17,33403806.78,1086923.27,6.0362,0,Negative
18,35043431.34,795180.87,5.9005,0,Negative
19,34600722.03,1606389.29,6.2059,0,Negative
20,36525060.74,2151007.56,6.3326,0,Negative
21,35620968.27,2749729.3,6.4393,0,Negative
22,37809644.33,2652497.22,6.4237,0,Negative
23,40577381.45,3779302.42,6.5774,0,Negative
24,41059429.15,5998146.68,6.778,0,Negative
