Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,2245978.42,35896.46,4.5551,0,Negative
2,2343650.16,40741.38,4.61,0,Negative
3,2330154.14,38659.8,4.5873,0,Negative
4,2478877.08,53868.77,4.7313,0,Negative
5,2455712.28,47057.72,4.6726,0,Negative
6,2809120.32,35829.02,4.5542,0,Negative
7,2865262.22,78855.21,4.8968,0,Negative
8,3018253.78,77248.31,4.8879,0,Negative
9,2976582.19,95765.74,4.9812,0,Negative
10,3126016.01,95597.29,4.9804,0,Negative
11,3417369.01,130229.69,5.1147,0,Negative
12,3309345.73,173549.59,5.2394,0,Negative
13,5165842.4,205048.46,5.3119,0,Positive
14,3566581.0,248571.08,5.3955,0,Negative
15,3864554.52,299660.33,5.4766,0,Positive
16,3758868.81,358269.06,5.5542,0,Negative
17,3916973.43,338724.88,5.5298,0,Positive
18,4116213.47,310415.32,5.4919,0,Positive
19,4104529.81,329606.92,5.518,0,Positive
20,4257704.13,587275.05,5.7688,0,Positive
21,4322863.77,622625.03,5.7942,0,Positive
22,4429431.95,745532.04,5.8725,0,Positive
23,4163725.46,768659.72,5.8857,0,Positive
24,4362922.96,608249.64,5.7841,0,Positive
