Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,794365.78,71209.29,4.8525,0,Positive
2,936482.45,90709.55,4.9577,0,Positive
3,1012774.13,64317.22,4.8083,0,Positive
4,920655.7,83254.12,4.9204,0,Positive
5,961913.51,92144.52,4.9645,0,Positive
6,1031726.92,128214.85,5.1079,0,Positive
7,1052691.72,89575.89,4.9522,0,Positive
8,1106900.84,141409.02,5.1505,0,Positive
9,1255764.39,185223.91,5.2677,0,Negative
10,1259573.35,337596.56,5.5284,0,Positive
11,1176989.52,228236.32,5.3584,0,Positive
12,1406013.36,232452.83,5.3663,0,Negative
13,1289139.29,309468.31,5.4906,0,Negative
14,1295067.36,388579.25,5.5895,0,Negative
15,4203886.02,423384.14,5.6267,0,Negative
16,1496400.11,387203.11,5.5879,0,Negative
17,1449123.66,317562.97,5.5018,0,Negative
18,1439740.65,533747.47,5.7273,0,Negative
19,1429066.67,402638.26,5.6049,0,Negative
20,1593519.94,429085.68,5.6325,0,Negative
21,1619471.38,566221.6,5.753,0,Negative
22,1739781.91,765152.11,5.8837,0,Negative
23,1749707.4,749297.83,5.8747,0,Negative
24,1697844.1,570511.65,5.7563,0,Negative
