Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,3387040.33,33286.2,4.5223,0,Positive
2,3227473.65,61001.12,4.7853,0,Positive
3,3271944.25,108243.08,5.0344,0,Positive
4,3617190.11,61824.92,4.7912,0,Positive
5,3579308.81,86027.58,4.9346,0,Positive
6,3948986.04,137426.8,5.1381,0,Positive
7,4019210.43,110060.98,5.0416,0,Positive
8,3552997.85,152317.27,5.1827,0,Positive
9,3892195.71,208233.58,5.3186,0,Positive
10,4202604.46,180478.28,5.2564,0,Negative
11,3903513.26,205319.88,5.3124,0,Positive
12,4810789.9,266122.38,5.4251,0,Negative
13,6452460.83,401967.26,5.6042,0,Negative
14,4421430.15,404718.01,5.6072,0,Negative
15,5014975.53,587570.77,5.7691,0,Negative
16,4811745.52,525272.82,5.7204,0,Negative
17,5193315.52,847865.85,5.9283,0,Negative
18,5176061.04,751175.39,5.8757,0,Negative
19,5186583.99,547685.52,5.7385,0,Negative
20,5315877.96,777392.93,5.8906,0,Negative
21,5616158.19,768198.38,5.8855,0,Negative
22,5990763.07,1289500.13,6.1104,0,Negative
23,5840022.41,1149197.59,6.0604,0,Negative
24,5782917.96,1601274.36,6.2045,0,Negative
