Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,11212866.36,28572.26,4.4559,0,Positive
2,9337641.6,23953.94,4.3794,0,Positive
3,9991031.55,45228.34,4.6554,0,Positive
4,10310604.06,51378.4,4.7108,0,Positive
5,11139295.66,81570.78,4.9115,0,Positive
6,10698126.28,70087.94,4.8456,0,Positive
7,11684855.95,55227.84,4.7422,0,Positive
8,11648119.58,94149.22,4.9738,0,Positive
9,12319436.99,129571.8,5.1125,0,Positive
10,32412422.94,159692.79,5.2033,0,Negative
11,12619678.98,164225.53,5.2154,0,Positive
12,13764720.91,228114.18,5.3582,0,Negative
13,14010447.58,303049.79,5.4815,0,Negative
14,13739543.41,300310.45,5.4776,0,Negative
15,14957810.04,471639.27,5.6736,0,Negative
16,13775663.78,565418.63,5.7524,0,Negative
17,14845453.87,777795.82,5.8909,0,Negative
18,16078274.32,646670.27,5.8107,0,Negative
19,14685648.97,509602.45,5.7072,0,Negative
20,16219577.58,706640.05,5.8492,0,Negative
21,17239439.97,1078676.41,6.0329,0,Negative
22,18172786.54,1516922.43,6.181,0,Negative
23,17773762.13,2006736.02,6.3025,0,Negative
24,17710486.44,1651041.32,6.2178,0,Negative
