Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,513359.34,55276.48,4.7425,0,Negative
2,482430.48,59586.13,4.7751,0,Negative
3,647159.98,49180.83,4.6918,0,Negative
4,658236.76,53660.26,4.7297,0,Negative
5,700683.58,90423.77,4.9563,0,Negative
6,753084.28,82462.98,4.9163,0,Negative
7,841420.05,107694.09,5.0322,0,Negative
8,813359.92,156031.5,5.1932,0,Negative
9,1893263.53,100199.64,5.0009,0,Positive
10,805052.63,211829.56,5.326,0,Negative
11,867603.18,141619.54,5.1511,0,Negative
12,950797.11,132624.5,5.1226,0,Negative
13,945702.05,157268.67,5.1966,0,Negative
14,1022169.5,192054.42,5.2834,0,Negative
15,1019693.5,182408.8,5.261,0,Negative
16,1039295.16,255971.54,5.4082,0,Positive
17,1059262.29,224346.67,5.3509,0,Positive
18,1162491.77,299888.81,5.477,0,Positive
19,1163731.89,492972.46,5.6928,0,Positive
20,1121296.17,370222.89,5.5685,0,Positive
21,1211419.33,575086.9,5.7597,0,Positive
22,1280409.7,339311.69,5.5306,0,Positive
23,1330075.2,493282.35,5.6931,0,Positive
24,1312248.73,502762.09,5.7014,0,Positive
