Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,2467759.31,7320.82,3.8646,0,Negative
2,2613905.36,9261.39,3.9667,0,Negative
3,2599310.18,15467.76,4.1894,0,Negative
4,3075113.34,12239.85,4.0878,0,Negative
5,2862676.61,23678.7,4.3744,0,Negative
6,3153127.0,22288.78,4.3481,0,Negative
7,3080167.19,28406.75,4.4534,0,Negative
8,3257408.24,37231.33,4.5709,0,Negative
9,3403261.68,60933.53,4.7849,0,Negative
10,3286056.87,57523.01,4.7598,0,Negative
11,3524012.03,50993.22,4.7075,0,Negative
12,3714442.48,84958.71,4.9292,0,Negative
13,3680157.66,145584.7,5.1631,0,Negative
14,8086236.44,123329.32,5.0911,0,Negative
15,4090151.61,93847.57,4.9724,0,Positive
16,3975171.74,152504.66,5.1833,0,Positive
17,4458089.68,260015.02,5.415,0,Positive
18,4376145.41,155272.56,5.1911,0,Positive
19,4495019.6,255902.78,5.4081,0,Positive
20,4471448.99,260417.87,5.4157,0,Positive
21,4815480.7,697295.75,5.8434,0,Positive
22,5039350.44,521453.0,5.7172,0,Positive
23,4823700.37,607999.55,5.7839,0,Positive
24,5037962.65,850275.1,5.9296,0,Positive
