Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,3234587.66,45650.15,4.6594,0,Positive
2,3185572.95,52291.13,4.7184,0,Positive
3,3686120.8,63426.84,4.8023,0,Positive
4,3190614.64,77615.48,4.8899,0,Positive
5,3543687.4,136058.51,5.1337,0,Positive
6,3965540.5,83199.73,4.9201,0,Positive
7,4049866.13,79004.27,4.8977,0,Positive
8,3745655.42,159622.27,5.2031,0,Positive
9,12112529.06,113429.9,5.0547,0,Negative
10,4071135.35,143987.22,5.1583,0,Positive
11,4268236.03,112028.44,5.0493,0,Positive
12,4594254.44,195903.0,5.292,0,Negative
13,4542213.71,302181.29,5.4803,0,Negative
14,4491325.87,248477.04,5.3953,0,Negative
15,4827720.63,270224.57,5.4317,0,Negative
16,4954340.59,347176.95,5.5406,0,Negative
17,4836217.9,577972.29,5.7619,0,Negative
18,5093398.63,343213.09,5.5356,0,Negative
19,5428742.34,420464.53,5.6237,0,Negative
20,5593464.34,520136.72,5.7161,0,Negative
21,5517846.29,1013277.52,6.0057,0,Negative
22,5832268.73,983487.22,5.9928,0,Negative
23,5765188.54,1007105.81,6.0031,0,Negative
24,6001323.9,1317844.54,6.1199,0,Negative
