Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,10325856.59,11830.45,4.073,0,Negative
2,10240798.17,19006.35,4.2789,0,Negative
3,10992176.02,27894.44,4.4455,0,Negative
4,12043850.62,29406.36,4.4684,0,Negative
5,12452750.29,24987.76,4.3977,0,Negative
6,12986203.33,30217.31,4.4803,1,Negative
7,14034290.06,42558.96,4.629,0,Negative
8,14769446.69,52721.76,4.722,0,Negative
9,15006132.66,65845.99,4.8185,0,Negative
10,15398863.86,82498.57,4.9164,0,Negative
11,49923032.81,113480.21,5.0549,0,Negative
12,17326177.28,127481.42,5.1054,0,Negative
13,17002651.47,191219.88,5.2815,0,Negative
14,18236169.16,187968.65,5.2741,0,Negative
15,18859540.52,352751.31,5.5475,0,Positive
16,18542800.3,280808.06,5.4484,0,Positive
17,19778144.36,332015.49,5.5212,0,Positive
18,20276187.78,763426.05,5.8828,0,Positive
19,20276901.13,600444.99,5.7785,0,Positive
20,20598949.46,1241908.5,6.0941,0,Positive
21,20984593.46,831882.32,5.9201,0,Positive
22,23433094.99,1253280.5,6.098,0,Positive
23,21814172.95,1959588.59,6.2922,0,Positive
24,22811930.7,2370406.2,6.3748,0,Positive
