Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,11916917.09,25118.61,4.4,0,Positive
2,13307919.74,22131.13,4.345,0,Positive
3,14771582.55,41556.34,4.6186,0,Positive
4,15829741.92,32806.87,4.516,0,Positive
5,15552302.82,70904.17,4.8507,0,Positive
6,15186364.99,69930.71,4.8447,0,Positive
7,16320829.62,42515.55,4.6285,0,Positive
8,16821220.87,102953.87,5.0126,0,Positive
9,17939116.12,113467.73,5.0549,0,Positive
10,18448159.62,150143.5,5.1765,0,Positive
11,19866901.34,139182.87,5.1436,0,Negative
12,37454321.4,168654.63,5.227,0,Negative
13,19912783.6,322737.14,5.5088,0,Negative
14,20709591.71,282724.95,5.4514,0,Negative
15,21514650.23,354553.79,5.5497,0,Negative
16,21028744.36,468937.46,5.6711,0,Negative
17,23948750.28,569700.41,5.7556,0,Negative
18,23083078.96,762930.91,5.8825,0,Negative
19,23045353.07,952857.38,5.979,0,Negative
20,23751827.37,1256204.04,6.0991,0,Negative
21,25954417.72,1406372.72,6.1481,0,Negative
22,24232971.56,1400152.75,6.1462,0,Negative
23,24731222.11,1753797.47,6.244,0,Negative
24,25991096.4,3949549.28,6.5965,0,Negative
