Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,702276.72,34410.6,4.5367,0,Positive
2,708185.0,37779.08,4.5773,0,Positive
3,705815.65,49463.92,4.6943,0,Positive
4,899521.88,48483.35,4.6856,0,Positive
5,730723.88,44419.8,4.6476,0,Positive
6,812714.55,57975.43,4.7632,0,Positive
7,908167.27,90774.03,4.958,0,Positive
8,998667.56,85455.23,4.9317,0,Positive
9,2288659.7,108855.59,5.0369,0,Negative
10,1025817.24,105108.89,5.0216,0,Positive
11,962213.16,123920.34,5.0931,0,Positive
12,1126663.76,81227.63,4.9097,0,Negative
13,1128883.45,205933.41,5.3137,0,Negative
14,1217570.12,178995.26,5.2528,0,Negative
15,1240036.49,255658.6,5.4077,0,Negative
16,1194111.26,258818.39,5.413,0,Negative
17,1327469.48,248820.11,5.3959,0,Negative
18,1286215.47,328500.5,5.5165,0,Negative
19,1267968.17,315837.97,5.4995,0,Negative
20,1322579.42,369423.01,5.5675,0,Negative
21,1407756.32,360965.19,5.5575,0,Negative
22,1481762.22,462418.36,5.665,0,Negative
23,1428655.18,283631.11,5.4528,0,Negative
24,1545257.39,451618.01,5.6548,0,Negative
