Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1763280.81,16472.9,4.2168,0,Negative
2,2093565.31,19792.29,4.2965,0,Negative
3,1958381.91,23936.75,4.3791,0,Negative
4,2257948.13,42508.58,4.6285,0,Negative
5,2098167.98,42978.01,4.6332,0,Negative
6,2524544.87,42455.85,4.6279,0,Negative
7,2450654.4,75163.79,4.876,0,Negative
8,2419372.71,48892.31,4.6892,0,Negative
9,2348717.46,100748.14,5.0032,0,Negative
10,2722182.63,101458.82,5.0063,0,Negative
11,2983454.53,125847.3,5.0998,0,Negative
12,2862909.25,120814.96,5.0821,0,Negative
13,3065298.82,138414.56,5.1412,0,Negative
14,7826558.37,210822.06,5.3239,0,Positive
15,2975969.04,158135.82,5.199,0,Negative
16,3156751.27,218586.68,5.3396,0,Positive
17,3307264.01,248019.37,5.3945,0,Positive
18,3476496.25,333506.48,5.5231,0,Positive
19,3585118.49,397328.81,5.5992,0,Positive
20,3473266.77,385386.05,5.5859,0,Positive
21,3503587.43,780014.23,5.8921,0,Positive
22,3754304.07,545039.13,5.7364,0,Positive
23,3600371.24,774477.18,5.889,0,Positive
24,3918828.07,962651.53,5.9835,0,Positive
