Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,4158779.13,47321.39,4.6751,0,Negative
2,4231085.15,30904.41,4.49,0,Negative
3,4791244.5,41841.79,4.6216,0,Negative
4,4375897.71,36011.99,4.5564,0,Negative
5,5234050.95,62920.23,4.7988,0,Negative
6,5012837.7,75137.52,4.8759,0,Negative
7,5245039.77,120336.26,5.0804,0,Negative
8,5844835.31,134100.23,5.1274,0,Negative
9,5733782.52,128554.55,5.1091,0,Negative
10,5595347.51,125044.52,5.0971,0,Negative
11,6525703.32,137219.6,5.1374,0,Negative
12,6171980.36,159435.31,5.2026,0,Negative
13,6223673.28,274789.18,5.439,0,Negative
14,6403294.42,396628.81,5.5984,0,Negative
15,6795739.75,184267.53,5.2654,0,Positive
16,17280405.76,304586.87,5.4837,0,Positive
17,7140412.49,368113.78,5.566,0,Positive
18,7644247.33,610092.06,5.7854,0,Positive
19,7970612.71,944033.37,5.975,0,Positive
20,8174340.77,1012327.39,6.0053,0,Positive
21,7969929.74,1148322.91,6.0601,0,Positive
22,8414541.33,1361146.93,6.1339,0,Positive
23,8372837.4,1478583.96,6.1698,0,Positive
24,8640517.42,1564155.27,6.1943,0,Positive
