Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1605189.12,18639.44,4.2704,0,Negative
2,1854473.62,18755.45,4.2731,0,Negative
3,1627390.73,26213.74,4.4185,0,Negative
4,1753665.31,33478.74,4.5248,0,Negative
5,1673182.12,42682.9,4.6303,0,Negative
6,1894824.29,26385.93,4.4214,0,Negative
7,1908446.05,63246.99,4.801,0,Negative
8,1852751.38,62065.38,4.7928,0,Negative
9,2333244.56,58991.37,4.7708,0,Negative
10,2154191.9,98611.32,4.9939,0,Negative
11,2286467.79,65392.62,4.8155,0,Negative
12,2193968.92,67393.38,4.8286,0,Negative
13,2350437.71,110998.98,5.0453,0,Negative
14,2559636.69,132933.87,5.1236,0,Negative
15,3791753.44,209674.85,5.3215,0,Positive
16,2676522.88,219302.64,5.341,0,Positive
17,2736121.24,396003.31,5.5977,0,Positive
18,2614424.24,295219.08,5.4701,0,Positive
19,2739203.42,440947.19,5.6444,0,Positive
20,2761721.91,391371.5,5.5926,0,Positive
21,2980514.3,330484.77,5.5192,0,Positive
22,2983097.67,479026.42,5.6804,0,Positive
23,3232947.3,725712.36,5.8608,0,Positive
24,3036963.27,631612.74,5.8005,0,Positive
