Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,7811534.42,42752.37,4.631,0,Negative
2,7794645.71,51225.82,4.7095,0,Negative
3,7966069.06,50844.79,4.7062,0,Negative
4,8006793.35,57752.74,4.7616,0,Negative
5,9433825.17,83689.56,4.9227,0,Negative
6,9215086.05,85089.2,4.9299,0,Negative
7,10141616.91,102436.17,5.0105,0,Negative
8,10290228.54,115623.6,5.063,0,Negative
9,10524842.94,243825.87,5.3871,0,Negative
10,18212072.56,248175.43,5.3948,0,Negative
11,10910487.26,169041.69,5.228,0,Negative
12,12031340.0,221401.49,5.3452,0,Negative
13,12088249.84,194619.58,5.2892,0,Negative
14,11864601.55,243836.74,5.3871,0,Negative
15,12409564.91,381475.62,5.5815,0,Positive
16,12860897.66,625209.04,5.796,0,Positive
17,12644164.87,473909.46,5.6757,0,Positive
18,13801233.57,700313.15,5.8453,0,Positive
19,13993311.68,1445825.92,6.1601,0,Positive
20,15780535.15,1099329.89,6.0411,0,Positive
21,14991766.61,780458.11,5.8923,0,Positive
22,15650647.22,2723811.79,6.4352,0,Positive
23,15046096.46,2150612.99,6.3326,0,Positive
24,15823509.16,2196284.24,6.3417,0,Positive
