Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,12584085.56,35491.97,4.5501,0,Negative
2,14097020.54,32328.47,4.5096,0,Negative
3,14096182.25,47276.48,4.6746,0,Negative
4,15088340.22,78946.96,4.8973,0,Negative
5,14572363.58,74001.28,4.8692,0,Negative
6,17022745.39,87636.16,4.9427,0,Negative
7,17655113.69,77231.44,4.8878,0,Negative
8,17751303.7,157161.85,5.1963,0,Negative
9,43451982.29,197398.92,5.2953,0,Negative
10,18677405.11,135556.22,5.1321,0,Negative
11,20098415.52,310788.65,5.4925,0,Negative
12,19788353.0,301787.93,5.4797,0,Negative
13,22066683.2,402187.33,5.6044,0,Negative
14,22960021.53,482589.65,5.6836,0,Negative
15,22104601.68,519342.68,5.7155,0,Positive
16,21523340.41,544629.95,5.7361,0,Positive
17,22104884.15,994054.74,5.9974,0,Positive
18,23496550.49,1494783.61,6.1746,0,Positive
19,24141699.17,899200.25,5.9539,0,Positive
20,24899642.28,1541361.13,6.1879,0,Positive
21,25462388.08,2122852.76,6.3269,0,Positive
22,25399960.49,1400799.62,6.1464,0,Positive
23,26608820.55,1916937.48,6.2826,0,Positive
24,26750030.93,3650491.33,6.5624,0,Positive
