Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,6899393.57,94953.84,4.9775,0,Positive
2,7301013.58,68106.82,4.8332,0,Positive
3,6907243.01,60947.43,4.785,0,Positive
4,7964803.86,85037.03,4.9296,0,Positive
5,7044334.13,116551.3,5.0665,0,Positive
6,8311767.81,119147.14,5.0761,0,Positive
7,8763455.32,213583.23,5.3296,0,Positive
8,7760759.39,188101.31,5.2744,0,Positive
9,8074027.78,193735.87,5.2872,0,Positive
10,9244736.26,344813.67,5.5376,0,Negative
11,8903550.74,263923.02,5.4215,0,Negative
12,8595092.94,435326.96,5.6388,0,Positive
13,9434074.65,379271.42,5.579,0,Negative
14,9657029.98,382018.01,5.5821,0,Negative
15,9909644.42,548787.04,5.7394,0,Negative
16,28993046.15,508454.68,5.7063,0,Negative
17,10055809.84,769472.96,5.8862,0,Negative
18,9616169.82,864112.32,5.9366,0,Negative
19,10283212.17,1064223.35,6.027,0,Negative
20,10184817.37,644294.43,5.8091,0,Negative
21,11178926.56,1500758.31,6.1763,0,Negative
22,11135122.53,1606020.74,6.2058,0,Negative
23,11304256.85,2025561.47,6.3065,0,Negative
24,12153362.63,2605588.9,6.4159,0,Negative
