Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,2348394.91,65285.2,4.8148,0,Positive
2,2199625.58,76704.23,4.8848,0,Positive
3,2894264.04,75917.85,4.8803,0,Positive
4,2765837.06,86932.7,4.9392,0,Positive
5,2887931.47,94576.43,4.9758,0,Positive
6,2935784.73,109376.1,5.0389,0,Positive
7,3157694.29,137277.83,5.1376,0,Positive
8,3235215.75,234929.56,5.3709,0,Positive
9,3632187.04,128077.03,5.1075,0,Positive
10,3411065.35,286089.05,5.4565,0,Positive
11,3756932.31,229142.22,5.3601,0,Negative
12,3697736.1,478563.03,5.6799,0,Negative
13,3887917.67,286030.51,5.4564,0,Negative
14,3919533.78,407515.82,5.6101,0,Negative
15,11081400.39,321016.27,5.5065,0,Negative
16,4358110.77,426621.61,5.63,0,Negative
17,4326878.76,456269.69,5.6592,0,Negative
18,4462100.39,651693.11,5.814,0,Negative
19,4393662.71,1312495.34,6.1181,0,Negative
20,4674861.24,1132250.58,6.0539,0,Negative
21,4960535.44,676267.78,5.8301,0,Negative
22,5140783.78,826710.02,5.9174,0,Negative
23,5098351.93,1014447.46,6.0062,0,Negative
24,5353938.31,1489916.83,6.1732,0,Negative
