Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,2028280.94,8566.61,3.9328,0,Positive
2,2088038.0,11922.89,4.0764,0,Positive
3,2239961.84,18809.57,4.2744,0,Positive
4,2375131.47,17260.31,4.237,0,Positive
5,2226895.35,24660.41,4.392,0,Positive
6,2425781.28,17061.87,4.232,0,Positive
7,2454697.08,28133.55,4.4492,0,Positive
8,2502281.65,23467.57,4.3705,0,Positive
9,4567544.74,42103.39,4.6243,0,Negative
10,2618238.19,61229.16,4.787,0,Positive
11,2880096.44,67884.16,4.8318,0,Positive
12,3104405.6,74615.9,4.8728,0,Negative
13,3119338.79,85968.36,4.9343,0,Negative
14,3203308.71,80217.98,4.9043,0,Negative
15,3079193.49,114712.08,5.0596,0,Negative
16,3136466.24,146588.87,5.1661,0,Negative
17,3192495.75,218286.79,5.339,0,Negative
18,3405781.04,239397.53,5.3791,0,Negative
19,3503405.51,387897.24,5.5887,0,Negative
20,3586608.08,281295.21,5.4492,0,Negative
21,3618478.15,330839.38,5.5196,0,Negative
22,3636034.53,322817.98,5.509,0,Negative
23,3818190.95,379899.85,5.5797,0,Negative
24,3943295.74,465289.65,5.6677,0,Negative
