Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1796944.34,25011.23,4.3981,0,Negative
2,1929524.04,26047.93,4.4158,0,Negative
3,1814701.8,48885.74,4.6892,0,Negative
4,2031389.58,46094.51,4.6636,0,Negative
5,2007500.12,56160.07,4.7494,0,Negative
6,1942902.02,85992.56,4.9345,0,Negative
7,2131947.97,69477.44,4.8418,0,Negative
8,2207321.84,87207.54,4.9406,0,Negative
9,2179608.05,176341.72,5.2464,0,Negative
10,2172758.97,120372.99,5.0805,0,Negative
11,2443864.03,133408.14,5.1252,0,Negative
12,2444933.0,160451.67,5.2053,0,Negative
13,2762882.79,140483.29,5.1476,0,Negative
14,2745612.96,189721.32,5.2781,0,Negative
15,6562111.09,235888.37,5.3727,0,Positive
16,2929049.11,254819.5,5.4062,0,Positive
17,3018516.75,386567.99,5.5872,0,Positive
18,2956249.3,613134.46,5.7876,0,Positive
19,3030837.02,616164.89,5.7897,0,Positive
20,3200060.57,545040.78,5.7364,0,Positive
21,3179688.25,553157.71,5.7428,0,Positive
22,3372544.3,790601.55,5.898,0,Positive
23,3516758.4,891725.5,5.9502,0,Positive
24,3506867.05,704724.43,5.848,0,Positive
