Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,18513081.92,51596.89,4.7126,0,Negative
2,21128611.1,54442.37,4.7359,0,Negative
3,22843433.29,72444.68,4.86,0,Negative
4,21568936.77,137148.64,5.1372,0,Negative
5,24761459.12,123054.07,5.0901,0,Negative
6,24420478.29,161136.0,5.2072,0,Negative
7,22928504.33,153564.5,5.1863,0,Negative
8,25901114.29,197169.67,5.2948,0,Negative
9,28124217.88,243226.13,5.386,0,Negative
10,26799672.61,346217.28,5.5393,0,Negative
11,29230516.87,323653.74,5.5101,0,Negative
12,28308523.79,425489.5,5.6289,0,Negative
13,31101207.87,422159.05,5.6255,0,Negative
14,47691177.34,725164.3,5.8604,0,Negative
15,30116216.71,1246277.63,6.0956,0,Positive
16,32892611.35,899259.43,5.9539,0,Positive
17,32835492.71,1062228.06,6.0262,0,Positive
18,32681397.51,839505.53,5.924,0,Positive
19,33751777.71,2324158.44,6.3663,0,Positive
20,35600761.71,2184638.14,6.3394,0,Positive
21,37368600.41,2686032.7,6.4291,0,Positive
22,36629971.23,3176312.32,6.5019,0,Positive
23,39237450.4,4032723.72,6.6056,0,Positive
24,37915688.79,6921804.15,6.8402,0,Positive
