Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,3518968.38,8266.69,3.9173,0,Negative
2,3406889.56,12404.91,4.0936,0,Negative
3,3480659.57,14952.22,4.1747,0,Negative
4,4253335.46,17759.52,4.2494,0,Negative
5,4009148.79,14577.36,4.1637,0,Negative
6,4211747.81,41279.61,4.6157,0,Negative
7,4589027.38,25647.65,4.409,1,Negative
8,4354338.19,49555.83,4.6951,0,Negative
9,4462853.36,51261.52,4.7098,1,Negative
10,4849221.66,64043.06,4.8065,0,Negative
11,4219389.16,93797.65,4.9722,0,Negative
12,5016420.33,80271.96,4.9046,0,Negative
13,5377901.21,98861.5,4.995,0,Positive
14,5030105.64,93358.27,4.9702,0,Negative
15,11309522.65,216462.15,5.3354,0,Positive
16,5362096.24,181877.23,5.2598,0,Negative
17,5728394.72,168734.2,5.2272,0,Positive
18,5751783.59,220832.8,5.3441,0,Positive
19,5696173.57,431454.98,5.6349,0,Positive
20,6211700.58,337860.56,5.5287,0,Positive
21,6348751.76,470531.38,5.6726,0,Positive
22,6316236.24,757809.23,5.8796,0,Positive
23,6366983.92,572963.87,5.7581,0,Positive
24,6761856.99,725196.67,5.8605,0,Positive
