Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1343582.98,51763.36,4.714,0,Positive
2,1311532.2,38910.63,4.5901,0,Positive
3,1323601.36,50460.32,4.7029,0,Positive
4,1503818.18,41303.85,4.616,0,Positive
5,1531030.48,49653.51,4.6959,0,Positive
6,1768481.15,86637.22,4.9377,0,Positive
7,1708445.38,67823.25,4.8314,0,Positive
8,1651478.36,111442.1,5.047,0,Positive
9,1966738.4,64422.39,4.809,0,Negative
10,1793748.33,90152.71,4.955,0,Positive
11,1900297.28,130979.99,5.1172,0,Positive
12,2107046.36,145013.08,5.1614,0,Negative
13,2012983.41,195314.41,5.2907,0,Negative
14,2094111.56,197844.84,5.2963,0,Negative
15,2250061.28,259637.06,5.4144,0,Negative
16,3685918.16,176182.09,5.246,0,Negative
17,2226070.39,257650.31,5.411,0,Negative
18,2404929.63,319472.89,5.5044,0,Negative
19,2320571.68,338381.24,5.5294,0,Negative
20,2417969.96,568817.85,5.755,0,Negative
21,2442046.89,441117.6,5.6446,0,Negative
22,2485650.65,380853.18,5.5808,0,Negative
23,2694697.69,736977.85,5.8675,0,Negative
24,2586464.48,686720.0,5.8368,0,Negative
