Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1050102.61,58102.58,4.7642,0,Negative
2,950208.39,56039.73,4.7485,0,Negative
3,1082913.57,43705.04,4.6405,0,Negative
4,1076359.4,55664.39,4.7456,0,Negative
5,1161196.12,67149.53,4.827,0,Negative
6,1274772.17,84475.26,4.9267,0,Negative
7,1130233.97,137635.25,5.1387,0,Negative
8,1256154.3,103053.85,5.0131,0,Negative
9,1315593.84,106888.67,5.0289,0,Negative
10,3834311.92,61144.45,4.7864,0,Positive
11,1294123.17,109658.12,5.04,0,Negative
12,1265381.4,228180.46,5.3583,0,Negative
13,1424220.51,155947.16,5.193,0,Negative
14,1519530.23,254508.19,5.4057,0,Negative
15,1447398.82,191339.39,5.2818,0,Negative
16,1532665.17,209636.94,5.3215,0,Positive
17,1587477.19,321019.62,5.5065,0,Positive
18,1663962.0,330463.05,5.5191,0,Positive
19,1663877.27,364827.98,5.5621,0,Positive
20,1698798.92,310713.18,5.4924,0,Positive
21,1827847.52,396119.81,5.5978,0,Positive
22,1763635.69,396295.25,5.598,0,Positive
23,1843141.69,600916.67,5.7788,0,Positive
24,1895492.21,477136.12,5.6786,0,Positive
