Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,754500.11,34737.3,4.5408,0,Positive
2,816633.45,51109.98,4.7085,0,Positive
3,803682.86,60620.52,4.7826,0,Positive
4,833844.1,72028.33,4.8575,0,Positive
5,915152.5,55036.08,4.7406,0,Positive
6,982211.15,65765.04,4.818,0,Positive
7,946019.73,113639.26,5.0555,0,Positive
8,1018889.3,69966.92,4.8449,0,Positive
9,1122729.35,112959.71,5.0529,0,Positive
10,2572126.99,146292.14,5.1652,0,Negative
11,1142619.59,143583.99,5.1571,0,Negative
12,1131020.31,154756.91,5.1897,0,Negative
13,1074683.03,176317.62,5.2463,0,Positive
14,1259145.55,230606.18,5.3629,0,Negative
15,1252578.54,202397.9,5.3062,0,Negative
16,1303714.79,257956.86,5.4115,0,Negative
17,1331113.61,169141.36,5.2282,0,Negative
18,1384461.84,228132.34,5.3582,0,Negative
19,1458579.77,368444.76,5.5664,0,Negative
20,1425016.86,327233.4,5.5149,0,Negative
21,1507993.44,496406.55,5.6958,0,Negative
22,1398728.04,606447.39,5.7828,0,Negative
23,1547642.25,515095.59,5.7119,0,Negative
24,1558878.21,896712.43,5.9527,0,Negative
