Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,24678798.31,11429.59,4.058,0,Negative
2,22772070.72,15317.83,4.1852,0,Negative
3,25284892.01,12743.8,4.1053,0,Negative
4,25403732.56,20385.89,4.3093,0,Negative
5,27583357.27,24041.25,4.381,0,Negative
6,26308366.08,26392.77,4.4215,0,Negative
7,29764275.36,62597.72,4.7966,0,Negative
8,30213729.5,55985.36,4.7481,0,Negative
9,31676198.71,53836.59,4.7311,0,Negative
10,32507485.97,118412.81,5.0734,0,Negative
11,32942181.39,85566.53,4.9323,0,Negative
12,34190951.55,147695.72,5.1694,0,Negative
13,35230571.72,308396.05,5.4891,0,Negative
14,38057929.87,238910.51,5.3782,0,Negative
15,61125582.66,370232.65,5.5685,0,Positive
16,40813481.27,234827.68,5.3707,0,Positive
17,40221890.89,849982.3,5.9294,0,Positive
18,42311595.07,808820.64,5.9079,0,Positive
19,44865645.83,924258.03,5.9658,0,Positive
20,44172644.43,1841570.93,6.2652,0,Positive
21,46118792.01,1492976.2,6.1741,0,Positive
22,45727926.52,2335679.63,6.3684,0,Positive
23,49544526.8,2296396.42,6.361,0,Positive
24,49543338.88,2802260.29,6.4475,0,Positive
