Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,8508954.3,10342.52,4.0146,0,Positive
2,10414040.39,20304.8,4.3076,0,Positive
3,9395822.4,16643.06,4.2212,0,Positive
4,9636013.52,26014.13,4.4152,0,Positive
5,8800819.06,35278.63,4.5475,0,Positive
6,10561845.89,30539.69,4.4849,0,Positive
7,11639271.78,50035.37,4.6993,0,Positive
8,12370014.78,49575.59,4.6953,0,Positive
9,29066202.62,102000.3,5.0086,0,Negative
10,12661657.9,73328.32,4.8653,0,Positive
11,13170746.63,105741.14,5.0242,0,Negative
12,12345027.49,147155.14,5.1678,0,Positive
13,13477070.74,160288.17,5.2049,0,Negative
14,14698079.3,296295.59,5.4717,0,Negative
15,14675258.68,268402.48,5.4288,0,Negative
16,14869698.66,227732.17,5.3574,0,Negative
17,14850347.85,442815.98,5.6462,0,Negative
18,14865169.1,405682.86,5.6082,0,Negative
19,16578121.48,411033.74,5.6139,0,Negative
20,16503919.07,561856.33,5.7496,0,Negative
21,16625335.82,936152.34,5.9713,0,Negative
22,17757288.49,844838.87,5.9268,0,Negative
23,17673219.58,1697219.0,6.2297,0,Negative
24,17837024.37,1956075.91,6.2914,0,Negative
