Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,2391332.5,45972.62,4.6625,0,Positive
2,2485793.0,60131.18,4.7791,0,Positive
3,2658788.84,75969.87,4.8806,0,Positive
4,3118756.39,69925.15,4.8446,0,Positive
5,3264314.74,103524.77,5.015,0,Positive
6,3049990.8,75391.68,4.8773,0,Positive
7,3590939.11,101724.27,5.0074,0,Positive
8,3638746.16,195356.16,5.2908,0,Positive
9,3579724.58,115245.5,5.0616,0,Positive
10,7656621.15,124214.71,5.0942,0,Negative
11,3984409.64,176345.04,5.2464,0,Negative
12,3926455.08,192321.92,5.284,0,Negative
13,4014046.87,292339.58,5.4659,0,Positive
14,4312959.88,386495.0,5.5871,0,Negative
15,4269462.02,373231.97,5.572,0,Negative
16,4318270.03,416411.43,5.6195,0,Negative
17,4499037.98,631990.3,5.8007,0,Negative
18,4760957.39,583283.1,5.7659,0,Negative
19,4840388.15,537347.91,5.7303,0,Negative
20,5036804.74,733136.66,5.8652,0,Negative
21,5030255.34,750311.18,5.8752,0,Negative
22,5138274.58,1235540.8,6.0919,0,Negative
23,5654355.12,1019848.2,6.0085,0,Negative
24,5540132.5,1635573.93,6.2137,0,Negative
