Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1142029.2,33336.91,4.5229,0,Positive
2,1240645.12,26382.23,4.4213,0,Positive
3,1372706.1,33079.27,4.5196,0,Positive
4,1445098.45,48983.16,4.69,0,Positive
5,1434104.4,44229.51,4.6457,0,Positive
6,1561161.95,43111.25,4.6346,0,Positive
7,1622180.35,67297.74,4.828,0,Positive
8,1501421.84,74439.91,4.8718,0,Positive
9,1762697.97,86621.65,4.9376,0,Positive
10,1754157.76,66396.28,4.8221,0,Positive
11,1999372.95,52100.39,4.7168,0,Negative
12,1819921.32,111044.21,5.0455,0,Negative
13,3171286.06,134251.59,5.1279,0,Negative
14,1935356.01,189520.26,5.2777,0,Negative
15,2026266.84,212018.29,5.3264,0,Negative
16,2218958.79,261104.66,5.4168,0,Negative
17,2147847.7,245178.06,5.3895,0,Negative
18,2311081.52,225487.24,5.3531,0,Negative
19,2447688.0,283876.78,5.4531,0,Negative
20,2287294.24,373710.87,5.5725,0,Negative
21,2573493.43,525882.34,5.7209,0,Negative
22,2497095.57,525796.51,5.7208,0,Negative
23,2456303.2,496730.93,5.6961,0,Negative
24,2573508.92,408893.37,5.6116,0,Negative
