Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,11414836.5,103142.77,5.0134,0,Positive
2,11581326.41,81879.18,4.9132,0,Positive
3,11210699.19,113179.49,5.0538,0,Positive
4,11642099.85,139476.67,5.1445,0,Positive
5,13399652.58,172048.74,5.2357,0,Positive
6,14080419.81,174625.88,5.2421,0,Positive
7,14013757.23,160179.82,5.2046,0,Positive
8,14484025.16,204442.13,5.3106,0,Positive
9,14009019.7,264777.43,5.4229,0,Positive
10,15805853.5,399055.56,5.601,0,Positive
11,49115299.43,426450.32,5.6299,0,Negative
12,16584703.37,433659.17,5.6371,0,Negative
13,17352752.49,566666.52,5.7533,0,Negative
14,17200867.87,706887.28,5.8494,0,Negative
15,17526150.26,875550.88,5.9423,0,Negative
16,17999364.86,1161085.66,6.0649,0,Negative
17,20205125.41,1080321.0,6.0336,0,Negative
18,20254848.78,770433.15,5.8867,0,Negative
19,19465305.01,1381357.18,6.1403,0,Negative
20,20675915.95,2726314.44,6.4356,0,Negative
21,21223545.56,1280862.76,6.1075,0,Negative
22,21247891.8,2629275.06,6.4198,0,Negative
23,21383836.37,2925721.05,6.4662,0,Negative
24,22528379.95,3956953.02,6.5974,0,Negative
