Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,1667350.14,21381.96,4.33,0,Positive
2,1726628.73,19913.2,4.2991,0,Positive
3,1943391.33,28729.89,4.4583,0,Positive
4,1950328.64,46242.84,4.665,0,Positive
5,1988702.91,52045.47,4.7164,0,Positive
6,2108936.76,39621.37,4.5979,0,Positive
7,1973494.01,49366.41,4.6934,1,Positive
8,2228040.82,76270.66,4.8824,0,Positive
9,2470416.43,62945.87,4.799,0,Positive
10,6786430.33,73124.07,4.8641,0,Negative
11,2427506.34,88346.58,4.9462,0,Positive
12,2586820.94,127055.65,5.104,0,Negative
13,2643922.75,140751.18,5.1485,0,Negative
14,2739563.85,102433.0,5.0104,0,Negative
15,2903785.27,161531.86,5.2083,0,Negative
16,3033442.2,246196.4,5.3913,0,Negative
17,2972633.07,203418.61,5.3084,0,Negative
18,3279791.38,251191.57,5.4,0,Negative
19,3116697.68,362499.36,5.5593,0,Negative
20,3188661.49,379305.81,5.579,0,Negative
21,3306211.98,566010.02,5.7528,0,Negative
22,3385895.32,433043.43,5.6365,0,Negative
23,3325754.48,744852.74,5.8721,0,Negative
24,3809954.96,751166.41,5.8757,0,Negative
