Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,6796722.85,13415.74,4.1276,0,Negative
2,6317084.17,15185.03,4.1814,0,Negative
3,5603572.21,25414.76,4.4051,0,Negative
4,6394396.41,38000.68,4.5798,0,Negative
5,7173100.56,35544.81,4.5508,0,Negative
6,6921945.91,53058.46,4.7248,0,Negative
7,6772474.67,66150.0,4.8205,0,Negative
8,7930294.49,55868.81,4.7472,0,Negative
9,8416846.93,78878.1,4.897,0,Negative
10,8387437.44,75790.23,4.8796,0,Negative
11,8611451.12,122664.27,5.0887,0,Negative
12,7656906.17,141150.23,5.1497,0,Negative
13,8579745.63,139191.87,5.1436,0,Negative
14,8575724.58,210983.85,5.3242,0,Negative
15,8968301.79,305337.98,5.4848,0,Positive
16,18598821.05,294595.4,5.4692,0,Positive
17,9671593.0,382091.33,5.5822,0,Positive
18,9795289.02,445410.22,5.6488,1,Positive
19,10286154.28,473178.99,5.675,0,Positive
20,10767444.69,702430.81,5.8466,1,Positive
21,10278672.34,643265.4,5.8084,0,Positive
22,10155494.83,972760.23,5.988,0,Positive
23,11302218.42,1089302.91,6.0371,0,Positive
24,11133406.43,881247.19,5.9451,0,Positive
