Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,6425887.93,29650.33,4.472,0,Positive
2,6792858.74,33282.46,4.5222,0,Positive
3,7626860.03,28337.91,4.4524,0,Positive
4,7092549.09,49435.3,4.694,0,Positive
5,7262932.85,46657.61,4.6689,0,Positive
6,8319174.22,77043.77,4.8867,0,Positive
7,7645897.88,69248.79,4.8404,0,Positive
8,8654412.51,152424.76,5.1831,0,Positive
9,8814092.81,73496.96,4.8663,0,Positive
10,9096212.65,119243.46,5.0764,0,Negative
11,8923033.25,177029.03,5.248,0,Positive
12,9164433.18,184727.73,5.2665,0,Negative
13,18908698.56,182226.18,5.2606,0,Negative
14,9551165.38,385786.62,5.5863,0,Negative
15,10766032.92,362039.69,5.5588,0,Negative
16,11045835.64,435298.36,5.6388,0,Negative
17,11562765.12,353378.54,5.5482,0,Negative
18,10758483.29,523308.66,5.7188,0,Negative
19,10935243.47,619363.02,5.7919,0,Negative
20,11635513.04,964890.33,5.9845,0,Negative
21,11795508.55,932168.45,5.9695,0,Negative
22,12557505.52,787097.43,5.896,0,Negative
23,12561501.8,1963770.89,6.2931,0,Negative
24,12537248.34,1378206.5,6.1393,0,Negative
