Months_Since_Launch,Payroll,Revenue,Base_10_Log_Revenue,Scandals,Media Coverage
1,3985458.37,68393.63,4.835,0,Negative
2,4274194.24,86410.93,4.9366,0,Negative
3,4636042.05,94651.51,4.9761,0,Negative
4,4641620.33,104108.34,5.0175,0,Negative
5,4769814.13,108164.12,5.0341,0,Negative
6,4146699.99,127846.08,5.1067,0,Negative
7,4638809.25,134203.97,5.1278,0,Negative
8,4926780.08,219910.49,5.3422,0,Negative
9,5196606.85,157982.9,5.1986,0,Negative
10,5236023.38,140930.27,5.149,0,Negative
11,5345673.67,248756.69,5.3958,0,Negative
12,5571599.69,461053.79,5.6638,0,Negative
13,5241245.58,294880.38,5.4696,0,Negative
14,12973600.49,429938.11,5.6334,0,Negative
15,5770538.12,520296.0,5.7163,0,Positive
16,5848437.89,604559.58,5.7814,0,Positive
17,6120609.9,736925.05,5.8674,0,Positive
18,6528388.44,872605.64,5.9408,0,Positive
19,6709524.75,1378469.73,6.1394,0,Positive
20,6162611.59,773053.62,5.8882,0,Positive
21,6350018.17,983919.95,5.993,0,Positive
22,6828511.91,1177252.49,6.0709,0,Positive
23,7023780.84,1182787.87,6.0729,0,Positive
24,7108205.39,1223880.45,6.0877,0,Positive
